"bot_type","refined_div_condition_mean","refined_div_condition_sd","idea_quality_mean","idea_quality_sd","Perceived_Ownership_mean","Perceived_Ownership_sd","Manipulation_Check_mean","Manipulation_Check_sd","Creative_Self_Efficacy_mean","Creative_Self_Efficacy_sd","Propensity_to_Trust_Technology_mean","Propensity_to_Trust_Technology_sd","NASA_TLX_mean","NASA_TLX_sd","Perceived_Technology_Agency_mean","Perceived_Technology_Agency_sd","Performance_Expectancy_mean","Performance_Expectancy_sd","Effort_Expectancy_mean","Effort_Expectancy_sd","Hedonic_Motivation_mean","Hedonic_Motivation_sd","AI_experience_mean","AI_experience_sd","refined_div_allideas_mean","refined_div_allideas_sd","ideas_div_allideas_mean","ideas_div_allideas_sd","ideas_div_condition_mean","ideas_div_condition_sd","refined_div_allideas_logit_mean","refined_div_allideas_logit_sd","refined_div_condition_logit_mean","refined_div_condition_logit_sd","idea_div_allideas_logit_mean","idea_div_allideas_logit_sd","idea_div_condition_logit_mean","idea_div_condition_logit_sd","eval_originality_avg_mean","eval_originality_avg_sd","eval_usefulness_avg_mean","eval_usefulness_avg_sd","eval_purchase_avg_mean","eval_purchase_avg_sd","Count_Observations"
"control",0.440095939619096,0.104111961595986,3.87995406669649,0.873690542012643,6.20808080808081,0.886598264829872,4.08080808080808,16.8272596915867,4.78451178451178,1.46718692945746,3.36531986531987,0.98159848338473,59.5707070707071,22.8237490549542,NA,NA,NA,NA,NA,NA,NA,NA,2.7979797979798,1.2534018849922,0.452282996941988,0.105131906538783,0.466378538006871,0.0928744387869262,0.454451709835384,0.104661360184234,-0.198198156437435,0.439308778106943,-0.249790051747061,0.436997032427302,-0.137748283871789,0.385712534623613,-0.187743175912224,0.439201908276128,3.58860850148729,1.08407369840134,4.17129963190569,0.996386704704569,2.33798611601642,0.618199924161659,99
"feedback",0.358834757383753,0.0758382175617488,4.43288946162658,0.666947026952953,5.9298969072165,0.893980442139444,28.9278350515464,23.0308884176413,5,1.42724806429612,3.71134020618557,0.885033565459135,57.139175257732,17.908148498548,2.88041237113402,0.702768213219713,5.24398625429553,1.58663067763626,5.86082474226804,1.06920011973817,4.87972508591065,1.70591669652619,3.35051546391753,1.21656309873178,0.365454514331216,0.0756661565506991,0.519274334283345,0.0864642635451004,0.525364205141121,0.0816351764906825,-0.565082841028837,0.330762101367053,-0.593351071351042,0.332986354833864,0.0785821050969671,0.353960469968721,0.103696112703087,0.333747925146816,4.46577631990003,0.819571452803764,4.40000260335312,0.929886242493907,2.50997865250443,0.578563510850335,97
"generation",0.345052825100726,0.077631364292882,4.28274026758875,0.612925794088554,4.38989898989899,1.34661290511545,62.7777777777778,26.4446111772788,4.34680134680135,1.52002445970234,3.52356902356902,0.964802947997039,46.010101010101,23.0292604245985,3.35757575757576,0.692980977017659,5.54882154882155,1.4679594884284,6.01515151515152,0.976652303384815,5.06734006734007,1.60778985070681,3.25252525252525,1.2234397339138,0.369227433299354,0.0816482854075648,0.505191962535667,0.0881451639075005,0.512210171041265,0.0892131693051723,-0.551722685358908,0.357794448989534,-0.65927742303178,0.350659995868677,0.0224802446004333,0.362518319609775,0.051641358890819,0.367242018082894,4.78313330889088,0.719714351781866,3.78234722628662,0.875169451421751,2.24288206182146,0.492931051696156,99
"improvement",0.321508394026825,0.0941029474950445,4.45154525386313,0.639947226593996,5.36423841059603,1.08960814796641,39.9801324503311,25.7214489479566,4.78145695364238,1.28929860783749,3.6037527593819,0.891470221736169,44.0397350993377,22.462674460744,3.20794701986755,0.753969334372687,5.37527593818985,1.40280387782712,6.00662251655629,1.00703650209726,5.00441501103753,1.5079968341488,3.29801324503311,1.18768515461383,0.346879332401002,0.0854762626142018,0.504843720346917,0.0940570502201275,0.507626553818237,0.0950126705938284,-0.652442680750216,0.382274176885125,-0.774827704195554,0.435609158349234,0.021368774800178,0.389428147763419,0.0329033888092696,0.393571332411784,4.47964388444521,0.72989855748547,4.42344662328106,0.853622927441477,2.49986430052655,0.554543134206242,151
"suggestion",0.420250513154093,0.100966453522673,3.89220487705336,0.810994733853015,5.6,1.09693450402586,40.3367346938776,27.1178960491973,5.02693602693603,1.25236897303411,3.68518518518519,0.974996043043569,52.4242424242424,21.8659370306041,3.25050505050505,0.674517777465568,5.30639730639731,1.60333889690067,6.02020202020202,0.763214175142688,5.04377104377104,1.59551985048844,3.44444444444444,1.19712429428348,0.426572693575069,0.0998119666418074,0.508127274367554,0.0929511131777488,0.514281482336155,0.0942533690216029,-0.304628975231073,0.41765826495051,-0.332343061190527,0.424967937418587,0.0362762238790821,0.388996469329332,0.0614665195989504,0.394419094339239,3.97733248793855,1.04109483499357,3.80707726616818,0.972314781397322,2.20046642470885,0.525839228616739,99
"vanilla",0.40501422379504,0.114961294185695,3.78241493886231,0.735864501126587,4.77684210526316,1.53064112777557,53.7157894736842,32.7198499053334,4.32280701754386,1.59820572529814,3.48070175438596,1.01054228995918,45.8157894736842,23.7994784306763,2.93052631578947,0.748768305528447,5.42105263157895,1.72467184415288,5.84473684210526,1.2945153057495,4.93333333333333,1.67698930950917,3.31578947368421,1.37812050468017,0.413584459604062,0.10479394367062,NA,NA,NA,NA,-0.359413883641597,0.443612833241451,-0.399297797158255,0.4920653498285,NA,NA,NA,NA,3.49216640085061,0.812551303500239,4.072663476874,0.951747028932767,2.30313928761297,0.545399513780102,95
